,numberOfFinalProperties,numberOfProperties,status,dateApproved,dateClosed,dateInitiallyApproved
26452,0,0,Closed,2013-02-07T00:00:00.000Z,2015-11-30T00:00:00.000Z,2013-02-07T00:00:00.000Z
26453,4,4,Closed,2014-01-08T00:00:00.000Z,2014-01-08T00:00:00.000Z,2012-08-27T00:00:00.000Z
26455,4,4,Closed,2009-06-03T00:00:00.000Z,2009-06-03T00:00:00.000Z,2007-03-15T00:00:00.000Z
26456,2,2,Closed,2009-02-25T00:00:00.000Z,2009-04-23T00:00:00.000Z,2007-01-19T00:00:00.000Z
26458,17,23,Closed,2018-05-17T00:00:00.000Z,2018-05-17T00:00:00.000Z,2008-09-03T00:00:00.000Z
26459,1,1,Closed,2010-03-30T00:00:00.000Z,2010-04-01T00:00:00.000Z,2008-06-10T00:00:00.000Z
26460,33,33,Closed,2012-05-07T00:00:00.000Z,2012-05-08T00:00:00.000Z,2008-10-21T00:00:00.000Z
26461,0,0,Closed,2010-12-14T00:00:00.000Z,2010-08-03T00:00:00.000Z,2009-02-23T00:00:00.000Z
26462,0,0,Closed,2007-08-21T00:00:00.000Z,2011-05-04T00:00:00.000Z,2007-08-21T00:00:00.000Z
26463,0,0,Closed,2011-01-26T00:00:00.000Z,2011-02-10T00:00:00.000Z,2007-06-28T00:00:00.000Z
26464,0,0,Closed,2013-02-04T00:00:00.000Z,2013-02-04T00:00:00.000Z,2008-07-08T00:00:00.000Z
26465,0,0,Closed,2011-01-24T00:00:00.000Z,2010-05-24T00:00:00.000Z,2008-08-12T00:00:00.000Z
26466,0,0,Closed,2012-07-16T00:00:00.000Z,2012-07-16T00:00:00.000Z,2008-09-08T00:00:00.000Z
26468,1,1,Closed,2005-09-08T00:00:00.000Z,2005-09-14T00:00:00.000Z,2005-09-14T00:00:00.000Z
26469,0,0,Closed,2016-12-20T00:00:00.000Z,2020-04-22T00:00:00.000Z,2017-01-19T00:00:00.000Z
26471,0,0,Closed,2016-04-07T00:00:00.000Z,2021-12-01T00:00:00.000Z,2016-05-03T00:00:00.000Z
26473,8,8,Closed,2016-09-26T00:00:00.000Z,2022-05-10T00:00:00.000Z,2016-09-27T00:00:00.000Z
26476,1,1,Closed,2019-09-23T00:00:00.000Z,2023-01-23T00:00:00.000Z,2019-09-27T00:00:00.000Z
26477,0,0,Closed,2009-09-08T00:00:00.000Z,2009-09-08T00:00:00.000Z,2003-07-07T00:00:00.000Z
26478,0,0,Closed,2008-08-28T00:00:00.000Z,2008-03-03T00:00:00.000Z,2002-03-30T00:00:00.000Z
26479,0,0,Closed,2010-03-04T00:00:00.000Z,2010-03-05T00:00:00.000Z,2002-12-13T00:00:00.000Z
26481,1,1,Closed,2009-04-05T00:00:00.000Z,2013-11-27T00:00:00.000Z,2003-11-12T00:00:00.000Z
26482,1,1,Closed,2009-03-25T00:00:00.000Z,2013-09-30T00:00:00.000Z,2003-11-12T00:00:00.000Z
26483,0,0,Closed,2009-03-25T00:00:00.000Z,2013-09-30T00:00:00.000Z,2003-11-12T00:00:00.000Z
26485,0,0,Closed,2017-01-27T00:00:00.000Z,2022-06-29T00:00:00.000Z,2017-03-02T00:00:00.000Z
26486,0,0,Closed,2014-02-21T00:00:00.000Z,2020-04-24T00:00:00.000Z,2014-05-05T00:00:00.000Z
26487,1,1,Closed,2015-09-24T00:00:00.000Z,2015-09-24T00:00:00.000Z,2011-06-27T00:00:00.000Z
26488,0,0,Closed,2016-07-19T00:00:00.000Z,2016-07-22T00:00:00.000Z,2013-04-08T00:00:00.000Z
26489,0,0,Closed,2022-09-19T00:00:00.000Z,2022-09-20T00:00:00.000Z,2012-09-04T00:00:00.000Z
26490,0,0,Closed,2012-04-04T00:00:00.000Z,2016-05-12T00:00:00.000Z,2012-04-04T00:00:00.000Z
26491,1,1,Closed,2016-12-07T00:00:00.000Z,2016-12-07T00:00:00.000Z,2013-01-11T00:00:00.000Z
26492,6,6,Closed,2013-04-24T00:00:00.000Z,2013-10-09T00:00:00.000Z,2012-06-25T00:00:00.000Z
26493,1,1,Closed,2013-08-07T00:00:00.000Z,2015-07-30T00:00:00.000Z,2012-08-29T00:00:00.000Z
26494,20,21,Closed,2014-07-21T00:00:00.000Z,2014-10-21T00:00:00.000Z,2011-10-17T00:00:00.000Z
26497,0,0,Closed,2019-12-05T00:00:00.000Z,2023-02-16T00:00:00.000Z,2019-12-05T00:00:00.000Z
26499,2,2,Closed,2019-01-30T00:00:00.000Z,2024-01-11T00:00:00.000Z,2019-01-30T00:00:00.000Z
26511,0,0,Closed,2020-08-10T00:00:00.000Z,2020-08-10T00:00:00.000Z,2018-05-22T00:00:00.000Z
26514,0,0,Closed,2020-09-10T00:00:00.000Z,2020-09-10T00:00:00.000Z,2018-06-15T00:00:00.000Z
26516,0,0,Closed,2024-09-30T00:00:00.000Z,2024-09-30T00:00:00.000Z,2024-09-30T00:00:00.000Z
26518,1,1,Closed,2021-08-13T00:00:00.000Z,2022-08-17T00:00:00.000Z,2019-05-10T00:00:00.000Z
26521,1,1,Closed,2005-02-01T00:00:00.000Z,2009-10-28T00:00:00.000Z,2005-02-08T00:00:00.000Z
26522,0,0,Closed,2014-04-28T00:00:00.000Z,2024-05-08T00:00:00.000Z,2014-06-19T00:00:00.000Z
26524,2,2,Closed,2016-03-24T00:00:00.000Z,2017-02-23T00:00:00.000Z,2016-03-31T00:00:00.000Z
26527,0,0,Closed,2007-06-13T00:00:00.000Z,2012-10-30T00:00:00.000Z,2007-08-21T00:00:00.000Z
26539,0,0,Closed,2008-09-03T00:00:00.000Z,2012-07-08T00:00:00.000Z,2008-09-10T00:00:00.000Z
26541,0,0,Closed,2005-06-24T00:00:00.000Z,2008-11-05T00:00:00.000Z,2005-07-08T00:00:00.000Z
26542,1,1,Closed,2022-07-28T00:00:00.000Z,2022-07-30T00:00:00.000Z,2012-12-20T00:00:00.000Z
26547,0,0,Closed,2007-04-18T00:00:00.000Z,2010-05-14T00:00:00.000Z,2007-04-18T00:00:00.000Z
26551,9,9,Closed,2011-05-10T00:00:00.000Z,2013-03-29T00:00:00.000Z,2011-05-12T00:00:00.000Z
26553,0,0,Closed,2005-07-27T00:00:00.000Z,2008-10-14T00:00:00.000Z,2005-07-29T00:00:00.000Z
26557,0,0,Closed,2006-01-12T00:00:00.000Z,2010-01-14T00:00:00.000Z,2006-01-19T00:00:00.000Z
26558,0,0,Closed,2009-08-19T00:00:00.000Z,2014-10-06T00:00:00.000Z,2009-08-28T00:00:00.000Z
26561,0,0,Closed,2009-07-23T00:00:00.000Z,2012-04-27T00:00:00.000Z,2009-08-21T00:00:00.000Z
26568,0,0,Closed,2004-04-01T00:00:00.000Z,2007-10-09T00:00:00.000Z,2004-04-13T00:00:00.000Z
26571,2,2,Closed,2010-09-22T00:00:00.000Z,2013-08-26T00:00:00.000Z,2010-09-27T00:00:00.000Z
26574,1,1,Closed,2006-09-11T00:00:00.000Z,2007-04-27T00:00:00.000Z,2006-09-29T00:00:00.000Z
26575,9,9,Closed,2017-03-21T00:00:00.000Z,2017-04-05T00:00:00.000Z,2009-10-21T00:00:00.000Z
26576,1,1,Closed,2014-03-13T00:00:00.000Z,2014-03-13T00:00:00.000Z,2009-09-08T00:00:00.000Z
26578,0,0,Closed,2017-11-01T00:00:00.000Z,2017-11-01T00:00:00.000Z,2010-08-10T00:00:00.000Z
26579,0,0,Closed,2010-09-14T00:00:00.000Z,2015-02-18T00:00:00.000Z,2010-08-04T00:00:00.000Z
26580,0,0,Closed,2012-02-23T00:00:00.000Z,2012-02-23T00:00:00.000Z,2011-01-20T00:00:00.000Z
26593,0,0,Closed,2004-04-09T00:00:00.000Z,2009-08-11T00:00:00.000Z,2004-04-23T00:00:00.000Z
26602,0,0,Closed,2010-12-21T00:00:00.000Z,2010-12-30T00:00:00.000Z,2008-07-17T00:00:00.000Z
26604,0,0,Closed,2023-02-27T00:00:00.000Z,2024-12-02T00:00:00.000Z,2023-02-27T00:00:00.000Z
26617,11,11,Closed,2012-11-09T00:00:00.000Z,2012-11-20T00:00:00.000Z,2011-12-20T00:00:00.000Z
26618,1,1,Closed,2014-03-27T00:00:00.000Z,2014-03-27T00:00:00.000Z,2012-03-09T00:00:00.000Z
26619,0,0,Closed,2015-01-06T00:00:00.000Z,2015-01-06T00:00:00.000Z,2012-04-09T00:00:00.000Z
26621,2,2,Closed,2017-06-19T00:00:00.000Z,2017-08-03T00:00:00.000Z,2012-06-29T00:00:00.000Z
26622,0,0,Closed,2017-04-24T00:00:00.000Z,2017-04-24T00:00:00.000Z,2012-08-20T00:00:00.000Z
26623,0,0,Closed,2017-06-05T00:00:00.000Z,2017-09-28T00:00:00.000Z,2013-08-09T00:00:00.000Z
26624,0,0,Closed,2017-06-30T00:00:00.000Z,2017-06-30T00:00:00.000Z,2012-12-12T00:00:00.000Z
26625,0,0,Closed,2015-04-03T00:00:00.000Z,2019-04-23T00:00:00.000Z,2014-04-08T00:00:00.000Z
26626,0,0,Closed,2019-03-19T00:00:00.000Z,2019-03-19T00:00:00.000Z,2013-07-02T00:00:00.000Z
26627,1,1,Closed,2022-04-13T00:00:00.000Z,2022-04-14T00:00:00.000Z,2013-04-16T00:00:00.000Z
26628,0,0,Closed,2021-05-05T00:00:00.000Z,2021-05-05T00:00:00.000Z,2014-05-08T00:00:00.000Z
26629,0,0,Closed,2014-02-10T00:00:00.000Z,2018-01-11T00:00:00.000Z,2014-02-10T00:00:00.000Z
26630,1,1,Closed,2022-02-17T00:00:00.000Z,2022-02-24T00:00:00.000Z,2013-01-16T00:00:00.000Z
26631,0,0,Closed,2017-08-01T00:00:00.000Z,2017-08-03T00:00:00.000Z,2012-12-20T00:00:00.000Z
26633,23,23,Closed,2020-03-04T00:00:00.000Z,2020-03-04T00:00:00.000Z,2012-07-19T00:00:00.000Z
26634,1,1,Closed,2019-02-04T00:00:00.000Z,2019-02-04T00:00:00.000Z,2011-11-30T00:00:00.000Z
26635,0,0,Closed,2012-07-23T00:00:00.000Z,2015-05-14T00:00:00.000Z,2012-07-23T00:00:00.000Z
26636,1,1,Closed,2022-06-21T00:00:00.000Z,2022-06-27T00:00:00.000Z,2013-02-19T00:00:00.000Z
26637,28,34,Closed,2019-04-26T00:00:00.000Z,2019-04-26T00:00:00.000Z,2013-01-18T00:00:00.000Z
26638,0,0,Closed,2013-04-24T00:00:00.000Z,2014-04-02T00:00:00.000Z,2013-04-24T00:00:00.000Z
26654,0,0,Closed,2007-02-23T00:00:00.000Z,2007-02-23T00:00:00.000Z,2005-06-13T00:00:00.000Z
26655,0,0,Closed,2006-11-20T00:00:00.000Z,2015-04-23T00:00:00.000Z,2006-11-20T00:00:00.000Z
26656,0,0,Closed,2010-04-21T00:00:00.000Z,2010-04-28T00:00:00.000Z,2006-05-03T00:00:00.000Z
26658,0,0,Closed,2015-06-24T00:00:00.000Z,2007-09-12T00:00:00.000Z,2005-07-11T00:00:00.000Z
26659,126,126,Closed,2010-04-12T00:00:00.000Z,2010-04-13T00:00:00.000Z,2006-12-13T00:00:00.000Z
26660,15,17,Closed,2012-09-24T00:00:00.000Z,2012-09-25T00:00:00.000Z,2007-01-24T00:00:00.000Z
26661,0,0,Closed,2007-06-18T00:00:00.000Z,2011-01-05T00:00:00.000Z,2007-06-18T00:00:00.000Z
26662,0,0,Closed,2013-10-29T00:00:00.000Z,2013-10-29T00:00:00.000Z,2006-04-24T00:00:00.000Z
26663,0,0,Closed,2009-12-23T00:00:00.000Z,2010-01-11T00:00:00.000Z,2006-09-11T00:00:00.000Z
26664,0,0,Closed,2012-12-27T00:00:00.000Z,2010-12-16T00:00:00.000Z,2008-06-25T00:00:00.000Z
26665,1,4,Closed,2008-03-20T00:00:00.000Z,2008-04-09T00:00:00.000Z,2005-04-21T00:00:00.000Z
26666,0,0,Closed,2013-10-29T00:00:00.000Z,2013-10-29T00:00:00.000Z,2005-04-25T00:00:00.000Z
26667,2,2,Closed,2014-07-15T00:00:00.000Z,2014-07-15T00:00:00.000Z,2008-06-04T00:00:00.000Z
26673,0,0,Closed,2017-09-25T00:00:00.000Z,2017-09-25T00:00:00.000Z,2009-04-13T00:00:00.000Z
26674,6,6,Closed,2014-09-08T00:00:00.000Z,2014-09-08T00:00:00.000Z,2008-11-25T00:00:00.000Z
26675,0,0,Closed,2012-01-19T00:00:00.000Z,2012-01-19T00:00:00.000Z,2008-11-19T00:00:00.000Z
26676,2,2,Closed,2017-06-15T00:00:00.000Z,2017-06-15T00:00:00.000Z,2009-06-03T00:00:00.000Z
26677,5,5,Closed,2012-08-16T00:00:00.000Z,2012-08-20T00:00:00.000Z,2010-08-10T00:00:00.000Z
26678,0,0,Closed,2009-01-23T00:00:00.000Z,2013-01-23T00:00:00.000Z,2009-01-23T00:00:00.000Z
26679,0,0,Closed,2018-03-28T00:00:00.000Z,2018-03-28T00:00:00.000Z,2010-08-05T00:00:00.000Z
26686,1,1,Closed,2018-01-16T00:00:00.000Z,2020-10-07T00:00:00.000Z,2018-04-02T00:00:00.000Z
26687,0,0,Closed,2007-08-13T00:00:00.000Z,2012-03-30T00:00:00.000Z,2007-09-13T00:00:00.000Z
26688,0,0,Closed,2015-04-06T00:00:00.000Z,2021-11-19T00:00:00.000Z,2015-04-16T00:00:00.000Z
26690,5,5,Closed,2012-05-04T00:00:00.000Z,2016-11-23T00:00:00.000Z,2012-06-12T00:00:00.000Z
26697,0,0,Closed,2007-06-14T00:00:00.000Z,2007-06-20T00:00:00.000Z,2005-09-27T00:00:00.000Z
26699,0,0,Closed,2008-11-10T00:00:00.000Z,2009-01-26T00:00:00.000Z,2007-04-12T00:00:00.000Z
26700,35,35,Closed,2015-04-20T00:00:00.000Z,2015-04-21T00:00:00.000Z,2007-04-02T00:00:00.000Z
26701,1,1,Closed,2010-02-24T00:00:00.000Z,2010-03-02T00:00:00.000Z,2006-04-19T00:00:00.000Z
26702,0,0,Closed,2007-03-12T00:00:00.000Z,2012-03-28T00:00:00.000Z,2007-03-12T00:00:00.000Z
26703,0,0,Closed,2009-12-11T00:00:00.000Z,2012-01-30T00:00:00.000Z,2007-10-24T00:00:00.000Z
26704,0,0,Closed,2009-09-08T00:00:00.000Z,2010-03-02T00:00:00.000Z,2008-03-05T00:00:00.000Z
26705,0,0,Closed,2014-09-08T00:00:00.000Z,2014-09-09T00:00:00.000Z,2009-03-17T00:00:00.000Z
26710,0,0,Closed,2019-09-26T00:00:00.000Z,2022-07-13T00:00:00.000Z,2019-09-27T00:00:00.000Z
26712,0,0,Closed,2004-08-02T00:00:00.000Z,2010-12-10T00:00:00.000Z,2004-08-18T00:00:00.000Z
26714,0,0,Closed,2008-08-12T00:00:00.000Z,2008-08-22T00:00:00.000Z,2008-08-21T00:00:00.000Z
26722,1,1,Closed,2017-06-26T00:00:00.000Z,2017-06-13T00:00:00.000Z,2013-01-24T00:00:00.000Z
26724,9,9,Closed,2015-07-28T00:00:00.000Z,2015-07-28T00:00:00.000Z,2013-01-02T00:00:00.000Z
26726,0,0,Closed,2015-02-02T00:00:00.000Z,2015-04-01T00:00:00.000Z,2014-08-12T00:00:00.000Z
26727,2,5,Closed,2021-01-08T00:00:00.000Z,2020-01-08T00:00:00.000Z,2021-01-08T00:00:00.000Z
26728,3,3,Closed,2012-09-05T00:00:00.000Z,2017-09-05T00:00:00.000Z,2012-09-20T00:00:00.000Z
26730,0,0,Closed,2016-02-11T00:00:00.000Z,2021-12-03T00:00:00.000Z,2016-02-24T00:00:00.000Z
26731,0,0,Closed,2014-09-24T00:00:00.000Z,2018-06-19T00:00:00.000Z,2014-09-29T00:00:00.000Z
26733,1,1,Closed,2007-09-18T00:00:00.000Z,2011-06-13T00:00:00.000Z,2007-09-25T00:00:00.000Z
26734,6,6,Closed,2015-06-16T00:00:00.000Z,2020-04-07T00:00:00.000Z,2015-06-18T00:00:00.000Z
26740,19,19,Closed,2024-09-03T00:00:00.000Z,2024-09-03T00:00:00.000Z,2021-04-09T00:00:00.000Z
26741,0,0,Closed,2022-04-21T00:00:00.000Z,2022-04-21T00:00:00.000Z,2022-04-21T00:00:00.000Z
26742,1,1,Closed,2023-08-02T00:00:00.000Z,2023-08-02T00:00:00.000Z,2022-07-18T00:00:00.000Z
26743,1,1,Closed,2020-02-06T00:00:00.000Z,2023-03-15T00:00:00.000Z,2020-02-06T00:00:00.000Z
26750,0,0,Closed,2016-12-09T00:00:00.000Z,2017-01-12T00:00:00.000Z,2015-04-17T00:00:00.000Z
26751,0,0,Closed,2018-10-15T00:00:00.000Z,2018-10-15T00:00:00.000Z,2015-05-04T00:00:00.000Z
26752,0,0,Closed,2023-09-20T00:00:00.000Z,2025-01-10T00:00:00.000Z,2015-07-17T00:00:00.000Z
26754,0,0,Closed,2019-06-06T00:00:00.000Z,2019-06-06T00:00:00.000Z,2015-09-01T00:00:00.000Z
26756,0,0,Closed,2020-10-08T00:00:00.000Z,2020-10-08T00:00:00.000Z,2015-01-08T00:00:00.000Z
26757,0,0,Closed,2018-01-31T00:00:00.000Z,2018-01-31T00:00:00.000Z,2015-06-15T00:00:00.000Z
26758,0,0,Closed,2020-01-03T00:00:00.000Z,2020-01-03T00:00:00.000Z,2015-08-03T00:00:00.000Z
26759,0,0,Closed,2024-06-04T00:00:00.000Z,2024-06-04T00:00:00.000Z,2015-05-07T00:00:00.000Z
26760,0,0,Closed,2022-02-15T00:00:00.000Z,2022-02-15T00:00:00.000Z,2015-09-11T00:00:00.000Z
26761,0,0,Closed,2021-09-16T00:00:00.000Z,2021-09-14T00:00:00.000Z,2017-01-26T00:00:00.000Z
26762,0,0,Closed,2023-07-25T00:00:00.000Z,2023-07-25T00:00:00.000Z,2015-07-07T00:00:00.000Z
26764,1,1,Closed,2016-10-18T00:00:00.000Z,2017-12-06T00:00:00.000Z,2016-10-18T00:00:00.000Z
26766,0,0,Closed,2016-06-10T00:00:00.000Z,2018-08-08T00:00:00.000Z,2016-06-10T00:00:00.000Z
26767,0,0,Closed,2023-10-25T00:00:00.000Z,2023-09-26T00:00:00.000Z,2017-10-17T00:00:00.000Z
26769,1,1,Closed,2004-09-21T00:00:00.000Z,2010-02-19T00:00:00.000Z,2004-09-21T00:00:00.000Z
26786,1,1,Closed,2020-11-20T00:00:00.000Z,2023-06-20T00:00:00.000Z,2020-11-20T00:00:00.000Z
26789,0,0,Closed,2016-09-23T00:00:00.000Z,2021-05-24T00:00:00.000Z,2016-09-23T00:00:00.000Z
26790,0,0,Closed,2012-09-11T00:00:00.000Z,2024-05-08T00:00:00.000Z,2012-09-12T00:00:00.000Z
26806,0,0,Closed,2005-08-03T00:00:00.000Z,2010-04-01T00:00:00.000Z,2005-08-11T00:00:00.000Z
26808,0,0,Closed,2012-09-07T00:00:00.000Z,2019-03-27T00:00:00.000Z,2012-09-14T00:00:00.000Z
26813,1,1,Closed,2014-09-04T00:00:00.000Z,2019-04-09T00:00:00.000Z,2014-09-29T00:00:00.000Z
26826,4,4,Closed,2016-06-27T00:00:00.000Z,2016-06-30T00:00:00.000Z,2009-08-21T00:00:00.000Z
26827,1,1,Closed,2009-08-21T00:00:00.000Z,2014-11-13T00:00:00.000Z,2009-08-21T00:00:00.000Z
26829,1,1,Closed,2005-09-08T00:00:00.000Z,2005-09-14T00:00:00.000Z,2005-09-14T00:00:00.000Z
26830,0,0,Closed,2008-02-04T00:00:00.000Z,2011-12-22T00:00:00.000Z,2008-02-04T00:00:00.000Z
26831,0,0,Closed,2013-10-02T00:00:00.000Z,2009-05-07T00:00:00.000Z,2007-06-20T00:00:00.000Z
26832,0,0,Closed,2013-09-24T00:00:00.000Z,2012-10-11T00:00:00.000Z,2007-12-20T00:00:00.000Z
26833,0,0,Closed,2008-02-04T00:00:00.000Z,2011-06-16T00:00:00.000Z,2008-02-04T00:00:00.000Z
26835,0,0,Closed,2008-11-26T00:00:00.000Z,2012-02-29T00:00:00.000Z,2008-11-26T00:00:00.000Z
26837,0,0,Closed,2017-10-15T00:00:00.000Z,2017-10-15T00:00:00.000Z,2009-04-13T00:00:00.000Z
26838,0,1,Closed,2009-06-30T00:00:00.000Z,2013-12-18T00:00:00.000Z,2009-06-30T00:00:00.000Z
26839,0,0,Closed,2019-11-08T00:00:00.000Z,2019-11-08T00:00:00.000Z,2009-07-20T00:00:00.000Z
26840,0,0,Closed,2012-07-10T00:00:00.000Z,2015-12-22T00:00:00.000Z,2008-09-08T00:00:00.000Z
26841,0,0,Closed,2015-05-28T00:00:00.000Z,2015-07-09T00:00:00.000Z,2009-10-22T00:00:00.000Z
26842,0,0,Closed,2016-04-27T00:00:00.000Z,2016-04-27T00:00:00.000Z,2009-03-11T00:00:00.000Z
26843,0,0,Closed,2018-09-11T00:00:00.000Z,2018-09-14T00:00:00.000Z,2009-09-17T00:00:00.000Z
26845,0,0,Closed,2012-12-07T00:00:00.000Z,2012-12-13T00:00:00.000Z,2011-05-10T00:00:00.000Z
26846,0,0,Closed,2015-01-05T00:00:00.000Z,2014-08-25T00:00:00.000Z,2007-04-24T00:00:00.000Z
26847,0,0,Closed,2007-03-22T00:00:00.000Z,2009-06-01T00:00:00.000Z,2007-03-22T00:00:00.000Z
26848,0,0,Closed,2014-10-10T00:00:00.000Z,2013-08-03T00:00:00.000Z,2014-10-10T00:00:00.000Z
26849,1,1,Closed,2024-05-07T00:00:00.000Z,2024-05-08T00:00:00.000Z,2016-08-23T00:00:00.000Z
26860,0,0,Closed,2011-03-18T00:00:00.000Z,2011-03-19T00:00:00.000Z,2002-03-15T00:00:00.000Z
26861,4,4,Closed,2008-05-12T00:00:00.000Z,2008-06-05T00:00:00.000Z,2002-04-08T00:00:00.000Z
26862,1,1,Closed,2010-11-16T00:00:00.000Z,2013-12-05T00:00:00.000Z,2004-11-22T00:00:00.000Z
26863,1,1,Closed,2013-03-11T00:00:00.000Z,2013-04-15T00:00:00.000Z,2006-06-12T00:00:00.000Z
26864,0,0,Closed,2011-06-13T00:00:00.000Z,2009-04-20T00:00:00.000Z,2003-04-11T00:00:00.000Z
26866,1,1,Closed,2006-01-18T00:00:00.000Z,2013-09-26T00:00:00.000Z,2003-04-21T00:00:00.000Z
26868,22,32,Closed,2011-03-16T00:00:00.000Z,2011-03-17T00:00:00.000Z,2011-03-16T00:00:00.000Z
26869,1,1,Closed,2007-01-31T00:00:00.000Z,2007-01-31T00:00:00.000Z,2002-10-29T00:00:00.000Z
26871,1,1,Closed,2009-05-02T00:00:00.000Z,2009-05-02T00:00:00.000Z,2003-10-22T00:00:00.000Z
26886,5,10,Closed,2021-06-10T00:00:00.000Z,2021-06-10T00:00:00.000Z,2017-05-09T00:00:00.000Z
26888,23,25,Closed,2020-04-27T00:00:00.000Z,2020-04-27T00:00:00.000Z,2017-10-18T00:00:00.000Z
26890,4,7,Closed,2023-11-27T00:00:00.000Z,2023-11-28T00:00:00.000Z,2016-09-20T00:00:00.000Z
26891,0,0,Closed,2019-04-01T00:00:00.000Z,2024-02-14T00:00:00.000Z,2016-11-14T00:00:00.000Z
26892,0,0,Closed,2023-09-21T00:00:00.000Z,2023-09-29T00:00:00.000Z,2017-04-03T00:00:00.000Z
26893,0,0,Closed,2016-07-12T00:00:00.000Z,2017-01-31T00:00:00.000Z,2016-07-12T00:00:00.000Z
26895,1,1,Closed,2021-11-23T00:00:00.000Z,2021-11-24T00:00:00.000Z,2018-03-05T00:00:00.000Z
26896,5,5,Closed,2022-08-30T00:00:00.000Z,2022-08-30T00:00:00.000Z,2018-02-14T00:00:00.000Z
26897,0,0,Closed,2019-09-10T00:00:00.000Z,2019-09-10T00:00:00.000Z,2018-01-31T00:00:00.000Z
26898,1,1,Closed,2022-06-08T00:00:00.000Z,2022-06-09T00:00:00.000Z,2019-10-24T00:00:00.000Z
26899,0,0,Closed,2015-02-03T00:00:00.000Z,2017-02-23T00:00:00.000Z,2015-02-03T00:00:00.000Z
26900,0,0,Closed,2018-03-09T00:00:00.000Z,2018-03-09T00:00:00.000Z,2014-09-22T00:00:00.000Z
26901,0,0,Closed,2017-07-28T00:00:00.000Z,2017-07-28T00:00:00.000Z,2014-12-09T00:00:00.000Z
26903,0,0,Closed,2018-06-18T00:00:00.000Z,2018-06-27T00:00:00.000Z,2014-12-13T00:00:00.000Z
26904,1,1,Closed,2010-01-25T00:00:00.000Z,2014-02-26T00:00:00.000Z,2010-04-14T00:00:00.000Z
26909,0,0,Closed,2014-09-18T00:00:00.000Z,2020-03-23T00:00:00.000Z,2014-09-26T00:00:00.000Z
26912,0,0,Closed,2017-08-03T00:00:00.000Z,2017-08-03T00:00:00.000Z,2015-06-16T00:00:00.000Z
26915,0,0,Closed,2006-06-28T00:00:00.000Z,2008-06-26T00:00:00.000Z,2006-06-29T00:00:00.000Z
26917,0,0,Closed,2019-09-26T00:00:00.000Z,2022-08-11T00:00:00.000Z,2019-09-27T00:00:00.000Z
26918,0,0,Closed,2010-07-27T00:00:00.000Z,2010-04-15T00:00:00.000Z,2008-11-19T00:00:00.000Z
26919,0,0,Closed,2008-02-04T00:00:00.000Z,2010-10-19T00:00:00.000Z,2008-02-04T00:00:00.000Z
26920,0,0,Closed,2008-09-15T00:00:00.000Z,2015-06-17T00:00:00.000Z,2008-09-15T00:00:00.000Z
26921,0,0,Closed,2010-01-05T00:00:00.000Z,2010-02-23T00:00:00.000Z,2008-07-22T00:00:00.000Z
26922,0,0,Closed,2011-12-16T00:00:00.000Z,2013-02-04T00:00:00.000Z,2009-03-30T00:00:00.000Z
26923,1,1,Closed,2010-10-18T00:00:00.000Z,2013-10-22T00:00:00.000Z,2009-07-31T00:00:00.000Z
26928,0,0,Closed,2013-10-30T00:00:00.000Z,2013-11-13T00:00:00.000Z,2009-02-02T00:00:00.000Z
26930,0,0,Closed,2021-11-16T00:00:00.000Z,2021-11-17T00:00:00.000Z,2009-12-09T00:00:00.000Z
26932,0,0,Closed,2013-06-10T00:00:00.000Z,2017-04-10T00:00:00.000Z,2013-07-12T00:00:00.000Z
26933,1,1,Closed,2006-06-05T00:00:00.000Z,2009-07-28T00:00:00.000Z,2006-06-14T00:00:00.000Z
26934,0,0,Closed,2010-10-13T00:00:00.000Z,2014-03-18T00:00:00.000Z,2011-03-10T00:00:00.000Z
26938,0,0,Closed,2008-09-23T00:00:00.000Z,2017-05-15T00:00:00.000Z,2009-02-25T00:00:00.000Z
26955,1,1,Closed,2017-05-01T00:00:00.000Z,2017-05-01T00:00:00.000Z,2011-01-10T00:00:00.000Z
26956,0,0,Closed,2010-10-19T00:00:00.000Z,2010-10-20T00:00:00.000Z,2010-10-14T00:00:00.000Z
26980,0,0,Closed,2017-05-01T00:00:00.000Z,2020-04-08T00:00:00.000Z,2017-05-08T00:00:00.000Z
26981,0,0,Closed,2015-03-18T00:00:00.000Z,2021-11-19T00:00:00.000Z,2015-03-26T00:00:00.000Z
26984,0,0,Closed,2018-06-22T00:00:00.000Z,2021-08-16T00:00:00.000Z,2018-07-03T00:00:00.000Z
26985,1,1,Closed,2011-11-15T00:00:00.000Z,2015-11-30T00:00:00.000Z,2012-02-16T00:00:00.000Z
26994,0,0,Closed,2005-07-13T00:00:00.000Z,2007-04-17T00:00:00.000Z,2002-09-04T00:00:00.000Z
26995,3,4,Closed,2007-07-25T00:00:00.000Z,2007-10-15T00:00:00.000Z,2002-05-17T00:00:00.000Z
26997,0,0,Closed,2005-07-20T00:00:00.000Z,2005-06-14T00:00:00.000Z,2003-11-07T00:00:00.000Z
26999,0,0,Closed,2008-07-22T00:00:00.000Z,2008-11-04T00:00:00.000Z,2005-02-03T00:00:00.000Z
27000,0,0,Closed,2006-10-17T00:00:00.000Z,2006-10-23T00:00:00.000Z,2002-09-12T00:00:00.000Z
27002,0,0,Closed,2021-09-16T00:00:00.000Z,2021-09-14T00:00:00.000Z,2017-01-26T00:00:00.000Z
