,projectAmount,initialObligationAmount,federalShareObligated,costSharePercentage,benefitCostRatio,netValueBenefits
29553,1209165,708993.75,906873.75,0.75,2.83,3588000
29554,183980,137985,137985,0.75,0,0
29555,290755.29,232021.47,218066.47,0.75,12.28,3767355
29556,234176.67,508168.8,175632.5,0.75,1,635211
29558,61989.63,56362.5,46492.22,0.75,0,0
29559,78160.01,58456.13,58455.81,0.75,1.56,121464
29560,278100,250290,250290,0.9,0,0
29561,216850,162637.5,162637.5,0.75,8.59,2035910
29562,98706.55,80000,74029.91,0.75,0,0
29564,32431.67,35895.54,32580.72,1,0,0
29566,32373.62,27000,24280.22,0.75,0,0
29567,1229838,922379,922379,0.75,0,0
29568,549171.67,262350,411878.75,0.75,17.12,19014351
29569,23848.06,13500,17886.05,0.75,0,0
29570,53626,45600,40219.71,0.75,2.11,116162
29571,498442.87,113184.75,373832.14,0.75,0,0
29575,2250782,2110318.5,2203094,0.98,1.95,4384756
29579,303990,303990,303990,1,0,0
29580,367.3,17589,367.3,1,0,0
29581,60000,48000,45000,0.75,0,0
29582,172830.7,111669,155547.63,0.9,2.33,402497
29583,30268,28754.6,27241.2,0.9,0,0
29584,20682.5,15511.87,18614.25,0.9,0,0
29590,0,64071.75,0,0.75,1.75,206474
29591,254539.5,203631.61,190904.63,0.75,4.6,1170705
29593,38377,28783,28783,0.75,0,0
29594,276827,279591,207620,0.75,3.84,1438753
29595,637817,557621,478363,0.75,1.09,612332
29596,113303,229582,100001,0.88,1.29,1011797
29597,25000,19598,18750,0.75,0,0
29598,65147,108707,57483,0.88,1.29,1011797
29599,259302,194477,194477,0.75,0,0
29601,1482738,1254051,1112054,0.75,0,0
29602,52629,37798,29301,0.56,0,0
29603,1081234,164217,810925,0.75,1.23,1662999
29604,170606,146544,127954,0.75,3.63,619053
29605,9250,7839,6938,0.75,0,0
29606,7889768,6042887,5917326,0.75,0,0
29607,0,113981,0,0.75,2.76,402493
29608,37857,12238,28393,0.75,1.67,63361
29609,25950,22056,19463,0.75,1.27,32992
29612,396400,297300,292555.09,0.75,3.25,1350543
29614,1276937,957702.75,957702.75,0.75,4.44,5981277
29617,75742,56806.5,56806.5,0.75,1,71542
29618,393680.65,248676.36,295260.49,0.75,2.31,907424
29619,89970,67477.5,67477.5,0.75,0,0
29620,416778,416778,416778,1,0,0
29621,115743.88,85668.25,86807.91,0.75,21.42,3595226
29622,734363,580142.25,550772.25,0.75,2.2,1615000
29624,2115164.8,2245,1586373.6,0.75,1,2115165
29625,631742,600154.9,568567.8,0.9,1,631742
29627,765500,46875,46875,0.75,8.6,6395195
29628,258556.54,253385.41,253385.41,1,0,0
29630,280345,185599.25,174000,0.62,8.59,2655142
29631,661111,628055.45,594999.9,0.9,1,661111
29632,103070,97913,92763,0.9,1.02,108079
29633,149350,112000,106215.76,0.75,1,1
29637,235982,134942.4,212383.8,0.9,1.51,355522
29638,3420195,3420195,3420195,1,1.83,5995157
29646,60750.68,27855,45563.01,0.75,1.19,51906
29647,207418,136840.5,135550.5,0.65,4.2,921790
29648,808220.7,529797,579797,0.72,3.48,2809112
29649,975975,718248.2,718248.2,0.74,1.34,1310882
29650,334410,250807.5,250807.5,0.75,0,0
29651,584800,594550,584800,1,138.17,83262756
29652,100310,90279,90279,0.9,0,0
29653,13500,10125,10125,0.75,0,0
29654,49651,45000,37238,0.75,0,0
29655,65867,51225,49400,0.75,0,0
29657,82961,70639,62221,0.75,0,0
29659,0,3578,0,0.75,1.37,21420
29660,250314,211936,166125,0.66,1.37,21420
29661,237166,186750,177860,0.75,20.78,5396662
29662,34511,31521,25883,0.75,0,0
29663,1039843,875147,779882,0.75,0,0
29664,37665,17258,28249,0.75,0,0
29665,0,68175,0,0.75,0,0
29666,16546,27945,16546,1,1.92,70013
29667,47740,87000,47740,1,1.75,160095
29668,6009983,4507487,4507487,0.75,1.98,11868000
29669,33415.09,27000,25061.32,0.75,0,0
29671,5733,4300,4300,0.75,0,0
29672,250000,225000,225000,0.9,0,0
29674,78500,74575,70650,0.9,0,0
29677,280700,266665,252630,0.9,1.11,323329
29689,250000,187500,225000,0.9,0,0
29690,148413.76,111310.32,133572.38,0.9,2.81,467510
29691,75697.1,75697.1,75697.1,1,0,0
29695,54750,49275,49275,0.9,0,0
29698,244373,232153.7,219935.7,0.9,0,0
29700,478800,454860,430920,0.9,2.73,1320966
29702,300000,285000,270000,0.9,1.64,490559
29709,4000,3180,3000,0.75,1.37,21420
29710,0,171600,0,0.75,1.01,231764
29711,15259,11444,11444,0.75,0,0
29712,31334,23501,23500,0.75,0,0
29713,15803,3925,15803,1,0,0
29714,38502,28876.5,28876.5,0.75,0,0
29715,0,5216,0,0.75,32.77,227900
29717,101746,99671,72384,0.71,1.37,21420
29718,1861016,93195,1395762,0.75,8.55,17992286
29719,25000,18750,18750,0.75,0,0
29720,91077,97886,64450,0.71,1.37,21420
29723,891254.16,922291.5,668440.62,0.75,1.73,2267244
29724,0,50220,0,0.75,12.16,889637
29725,164150,131307.5,123112.5,0.75,0,0
29726,742709.87,242546,742709.86,1,0,0
29727,2100,1575,1575,0.75,0,0
29728,109900,82425,48603,1,0.99,108817
29729,0,84384,0,0.75,0,0
29730,115107,87225,86330.25,0.75,0,0
29731,266815,200111,200111,0.75,1.09,306046
29732,6128971,3861544,4596728.25,0.75,4.38,26842953
29733,49500,37000,37000,0.75,0,0
29734,33145,29830.5,29830.5,0.9,0,0
29735,65150,48863,48863,0.75,0,0
29736,72342,52829,54256.5,0.75,0,0
29737,420434,313941,174972.82,0.75,1.25,539913
29738,86100,64575,64575,0.75,8.37,686371
29740,169884.73,103350,126600,0.75,1.27,175000
29742,7147,4000,4000,0.56,1.37,21420
29743,162642.12,122201,121981.59,0.75,0,0
29744,297000,267300,0,0.9,0,0
29745,74614,74614,74614,1,0,0
29746,51547,38636,38636,0.75,0,0
29747,48404,36303,36303,0.75,1.74,97537
29751,1211860,1211860,1211860,1,5.46,6620228
29754,1287000,965250,965250,0.75,1.56,2014012
29755,71155,52110.9,64039.5,0.9,1.09,63259
29756,5743756,2435234.75,4307817,0.75,1.03,5899785
29757,1789000,915902.1,1341750,0.75,1.06,1909439
29758,946913,745689.75,710184.75,0.75,1.11,1112523
29760,436014,392412,392412,0.9,2.31,1518593
29761,1607476,148680,139387.5,0.75,1.3,2386867
29762,29381.22,30908,22035.91,0.75,0,0
29766,1718420,474035.25,1288815,0.75,2.18,3746155
29767,32973.88,27000,24730.41,0.75,0,0
29769,115504.67,97886,86628.5,0.75,0,0
29770,134477.19,206342,134477.19,1,3.01,828000
29771,1250167,1070726,937625.14,0.75,13.42,19152275
29773,0,98326,0,0.75,0,0
29779,270200,256680,243180,0.9,1.23,334398
29780,333200,266530,249900,0.75,0,0
29783,128350.08,96262.56,96262.56,0.75,4.44,629459
29785,70998.53,56797.65,53248.9,0.75,0,0
29787,358893,162682,269170,0.75,1.55,421862
29788,2640,2121,1980,0.75,0,0
29796,520000,335483,390000,0.75,1,432225
29797,0,189012,0,0.75,2.13,509012
29798,30000,24102,22493,0.75,0,0
29799,7581,11817,5686,0.75,0,0
29800,247159,385541,185370,0.75,0,0
29801,28907,70303,25504,0.88,3.97,56936
29802,101137,102069,75853,0.75,0,0
29804,2732780.98,2827374.37,2732780.98,1,1.9,5435902
29807,0,48213,0,0.75,1.06,56988
29810,140000,105000,105000,0.75,0,0
29813,22882.5,17945.63,20594.25,0.9,0,0
29817,200301.51,138090.75,138090.75,0.66,8.77,1679195
29823,194380,194380,194380,1,0,0
29827,103429,112500,93086,0.9,0,0
29829,0,190949,0,0.75,1,1
29830,115000,107625,103500,0.9,0,0
29831,1195388,955373,896541,0.75,0,0
29832,1092970,859413,819728,0.75,1.78,1974862
29833,222973,177938,167230,0.75,3.42,778092
29834,73608,59909,55206,0.75,0,0
29835,98563,38693,73922,0.75,0,0
29836,424242,334220,318182,0.75,1.78,978186
29838,597168,247151.62,447876,0.75,1.08,661055
29839,8769400,4550344.2,7892460,0.9,0,0
29841,4356064,2399888,3526832,1,0,0
29842,110816.65,105274.99,99734.99,0.9,4.48,542422
29843,265072.5,251187.25,238565.25,0.9,0,0
29844,410479,369431.1,369431.1,0.9,0,0
29846,313351,104877,235013.25,0.75,1.06,156109
29848,212340,201217,191106,0.9,0,0
29852,265585.18,275646,265585.18,1,1.27,350000
29857,190264,103729,142698,0.75,1.11,210777
29858,1524834,1173510,1143625,0.75,1.13,1692945
29859,383409,260987,248250,0.65,1.2,395931
29860,34520,27195,25890,0.75,0,0
29861,726827,569806,545077,0.75,1.13,243430
29863,394654,323860,295991,0.75,4.05,1664895
29864,26220,18298,17250,0.66,0,0
29865,268887,172569,268887,1,1.31,350991
29866,1278024,1204940,958518,0.75,1.36,2119507
29867,3267,2650,2450,0.75,0,0
29868,1983612,62046,1487709,0.75,1.39,7874999
29877,51855.56,38891.67,38891.67,0.75,0,0
29878,1114000,1002600,1002600,0.9,0,0
29880,3066448,2809803.2,2759803.2,0.9,1.4,4395643
29881,351120,368676,351120,1,1.09,505938
29883,36201,34390.9,32580.9,0.9,0,0
29884,396536.39,356882.75,356882.75,0.9,1.53,608025
29886,0,122079.75,0,0.9,1.01,677968
29887,6455687,300580,284760,0.9,3.51,22684137
29888,30000,28499.7,27000,0.9,5.16,182754
29889,1147335,648612,860501.25,0.75,1.69,1938000
29890,736000,699200,662400,0.9,0,0
29892,117333,105599.7,105599.7,0.9,0,0
29921,30225,22668.75,0,0.75,1.75,71099
29922,274873,206154.75,206154.75,0.75,0,0
29923,423145.86,387300,317359.4,0.75,4.28,2208000
29924,582430,436822.5,436822.5,0.75,1.42,826971
29925,100922,80737.6,75691.5,0.75,1,100922
29927,86000,67070,64500,0.75,2.04,175000
29929,100000,75000,75000,0.75,0,0
29930,425519,163277.6,319139.25,0.75,7.7,3434012
29931,0,56905,0,0.9,52.22,3235868
29932,81761,81143,61320.74,0.75,1.16,126593
29933,49043,34043,49043,1,0,0
29934,123340,80040,80040,0.65,0,0
29935,31685.02,22500,23763.76,0.75,0,0
29937,752617,702581,564463,0.75,1.37,1279000
29938,1933821,438075,1740439,0.9,2.64,5422328
29941,406424,367373,365782,0.9,1.36,532844
29942,20000,15000,15000,0.75,0,0
29944,1768100,1326075,1326075,0.75,3.73,6528194
29946,80421,60276,60250,0.75,0,0
29948,77915,54780,58436,0.75,4.68,392943
29949,250118,213368,187588,0.75,5.73,2141361
29950,545668,951575,409252,0.75,1,879051
29951,275500,275500,275500,1,1,1
29962,225020,168765,114551.24,0.75,1.38,366708
29964,217497.34,263290,163123,0.75,1.08,395678
29965,211339.16,158505,158504.37,0.75,0,0
29966,189322.32,156236.25,141991.74,0.75,0,0
29967,1625872,1299992,1219404,0.75,18.97,10944816
29968,34860,26145,26145,0.75,0,0
29969,59688.14,40875,0,0.75,1.08,69982
29971,398791.7,300000,299093.74,0.75,3.2,1303759
29972,2142854,86250,1607140.5,0.75,1.79,4081929
29974,34974,26231,22969.5,0.75,1.18,46254
29976,24162,18121,18121,0.75,0,0
29977,634730,213289,260289,0.41,1.87,1226942
29981,646802,485102,485102,0.75,0,0
29985,313735.28,193153.5,235301.46,0.75,2.06,646000
29987,35000,26250,26250,0.75,0,0
29988,147416,104352,103062,0.7,8.57,1316838
29989,166667,158333.3,150000.3,0.9,0,0
29990,74451,67500,55838.25,0.75,6.35,571672
29991,1043625,25057.55,782718.75,0.75,3.59,4341024
29992,496700,397360,0,0.75,1.55,4523968
29993,485300,388240,363975,0.75,0,0
29994,100000,95000,90000,0.9,0,0
29996,0,90000,0,0.75,19.14,2790900
29997,32878,24658.5,24658.5,0.75,0,0
29998,7204670,5519978,5403502.5,0.75,1.92,13800000
29999,71067,30455.5,53300.25,0.75,0,0
30000,249216,199307.43,186912,0.75,1.08,275712
30001,1568935,1168396.63,1176701.25,0.75,1.71,2683118
30002,0,9160,0,0.75,0,0
30003,1053000,1105650,1053000,1,2.27,3617273
30004,2016435.9,1692981,1814792.31,0.9,1.28,2584000
30005,1301322.15,975991.61,975991.61,0.75,1.2,1689280
30009,501971,436522,376477,0.75,1,559856
30010,100000,80340,0,0.75,0,0
30012,149996,117665,149996,1,0,0
30013,214691,58871,104888,0.49,2.4,179819
30014,69100,52778,69100,1,3.01,208013
30015,14822,31929,11117,0.75,0,0
30016,200000,150000,150000,0.75,1.15,229964
30020,240000,180000,74863,0.75,1.34,322108
30023,109458,87566.5,98512.2,0.9,0,0
30024,570300,522270,513270,0.9,1.35,945686
30025,80000,76000,72000,0.9,0,0
30027,235916,188732,176937,0.75,0,0
30028,93840,89148,84456,0.9,0,0
30031,34408.6,30967.74,30967.74,0.9,0,0
30032,165000,141750,141750,0.86,3.61,587031
30033,244108.92,111122.1,244108.92,1,0,0
30034,731240,1256073.53,707109.08,0.97,1.15,852346
30038,5750,3578,3578,0.62,1.37,21420
30039,752474,674692,564356,0.75,0,0
30049,3818500,2978430,2553285.5,0.75,2,7923780
30050,4137040,4417187.38,3963943,0.98,1.68,6779030
30054,318260.25,286434.23,286434.23,0.9,3.19,1016667
30068,308650,129508,277739,0.9,3.54,1092386
30069,100000,80340,64811,0.75,14.71,1471006
30070,150000,118830,150000,1,0,0
30071,18016,13053,12488,0.69,0,0
30075,206475.81,157548,185828.23,0.9,0,0
30076,161840.2,153748.18,145656.18,0.9,2.2,491758
30077,209747.2,203454.78,203454.78,1,0,0
30080,78832,82596,59124,0.75,4.94,543472
30082,43295,37500,32471,0.75,0,0
30089,135681,147375,101753,0.75,0,0
30090,42286,32225,31715,0.75,0,0
30091,26693,28000,19253,0.72,4.37,223397
30092,319158,308850,239369,0.75,0,0
30093,593959,511313,445469,0.75,0,0
30094,0,80288,0,0.75,2.49,276695
30095,77024,57768,57768,0.75,0,0
30096,216474,197951,162356,0.75,0,0
30099,58000,43500,43500,0.75,1,58000
30104,36412.37,29129.9,27309.28,0.75,0,0
30105,110075.2,82556.4,82556.4,0.75,0,0
30107,78301,41670,41670,0.53,1.13,89680
30108,43811,32855,32855,0.75,0,0
30109,136407,100000,100000,0.73,0,0
30110,481975.32,494569,361481.74,0.75,1.06,700000
30111,406000,365400,365400,0.9,0.2,18285
30113,0,187500,0,0.75,4.71,1176623
30118,54671,72906,37470,0.69,1.37,21420
30119,51591.66,90618,38693.75,0.75,10.82,1469479
30120,1411832,871002,1042007,0.74,2.92,4061635
30121,408171,292584,306128,0.75,1.1,464962
30122,369774,310244,277331,0.75,1.23,506639
30123,53000,39750,39750,0.75,0,0
30124,539836,512400,404877,0.75,0,0
30125,0,65663,0,0.75,0,0
30128,429790,92315,429790,1,0,0
30130,0,5216,0,0.75,24.96,173615
30131,6500,4292,4000,0.62,1.37,21420
30139,142725,107043.75,107043.75,0.75,0,0
30140,5642040,202944,134293.5,0.75,3.05,17576662
30141,265566,212449.5,199174.5,0.75,1.63,477318
30142,70000,56000,52500,0.75,0,0
30143,143038,38790,107278.5,0.75,3.91,586018
30144,2055200,562487,500140,0.24,1.22,14759724
30145,158272,158460,118704,0.75,2.8,569713
30146,451897,90247,409491,0.91,0,0
30147,109594,100944,79944,0.73,1.37,21420
30149,24699,25653,24699,1,0,0
30151,19030,18000,14273,0.75,0,0
30152,67264,83396,50448,0.75,7.52,939477
30153,12148,27812,12486,1,0,0
30155,137231,89238,89238,0.65,0,0
30156,4388940,3445328,3445328,0.75,1.37,5868463
30160,359393,362304,341423,0.95,0,0
30163,1659087,1233246,1659087,1,24.03,2810717
30164,104797,32088,92601,0.88,0,0
30165,3386833,2133705,2133705,0.63,1.89,465516
30166,216965,245126,162723,0.75,0,0
30167,7512874,153465,2289819,0.3,8.18,55932225
30168,441288,612706,330966,0.75,0,0
30169,85350,97500,64012.5,0.75,0,0
30171,111021,83955,83259,0.75,0,0
30172,70560,496500,52920,0.75,5.8,4154963
30173,63414,50456,47557,0.75,0,0
30175,215048,201374,161285.67,0.75,2.3,496036
30176,3207513,1831867,2405634.75,0.75,1.67,5352000
30177,41211,30908,30908,0.75,0,0
30178,60000,45000,45000,0.75,0,0
30179,350527,186750,186750,0.75,14.7,3823481
30181,0,392178,0,0.75,1.08,1037500
30182,265917.53,298734,199438.15,0.75,0,0
30183,0,66353,0,0.75,0,0
30184,76376.97,48813,48651.25,0.64,9.18,422426
30185,925111.06,1084875,693833.3,0.75,9.39,14137515
30197,20782,20782,20782,1,0,0
30198,63492,45000,45000,0.71,3.66,219497
30200,30201,22650.75,22650.75,0.75,0,0
30203,83532.83,75179.55,75179.55,0.9,1.93,165514
30208,2374425.93,1666000,1666000,0.7,1.71,4777638
30209,5425242.24,3000000,3000000,0.55,1.89,1083003
30215,150000,120000,112500,0.75,0,0
30217,123941.77,99136.96,92956.33,0.75,0,0
30220,0,17035,0,0.75,0,0
30222,1237637,1561358,928228,0.75,1.59,9005931
30223,165485.99,229000,124114.49,0.75,28.17,120844244
30229,62750,44437.5,44437.5,0.71,1.3,110993
30230,546203,409461,409461,0.75,15.4,8560782
30234,2474016.68,1855512.51,1755382.04,0.75,10.03,25461018
30238,3954400,2965800,2965800,0.75,11.58,171785000
30239,323606,238539,229069,0.71,1.36,623943
30240,39364,97875,29523,0.75,1.28,160209
30242,0,61290,0,0.75,0,0
30244,0,64902.7,0,1,0,0
30248,291963,262766.7,262766.7,0.9,0,0
30250,513774,314565,385330.5,0.75,0,0
30251,0,282150,0,0.75,0,0
30253,994533,745899,0,0.75,4.01,4011324
30254,474944.3,356208.23,356208.23,0.75,1.43,691122
30255,220677.54,214057.21,214057.21,1,0,0
30259,2835448.44,2551903.6,2551903.6,0.9,3.23,9234439
30261,1070725,956779,803043.87,0.75,49.35,52841967
30262,149139,117125,92309,0.62,6.49,759800
30263,39000,29250,29250,0.75,0,0
30264,47000,35250,35250,0.75,0,0
30265,0,36087,0,0,47.92,14163629
30266,718121,334304,334304,0.47,3.61,3077285
30268,25000,18750,18750,0.75,0,0
30283,71567,53675,53675,0.75,1.55,205287
30284,80821,54750,54750,0.68,0,0
30285,88352,66264,66264,0.75,1.01,100438
30286,23333,15000,15000,0.64,0,0
30298,133632,544367,100224,0.75,0,0
30299,97434,69596,73076,0.75,3.6,668150
30300,21007,14513,15755,0.75,0,0
30301,879899,700358,659924,0.75,2.51,2380437
30302,653240,489930,489930,0.75,2.37,1579718
30303,78041,54780,58526,0.75,9.7,819809
30304,69359,52019,52019,0.75,0,0
30305,39143,49853,29357,0.75,0,0
30306,1712890,1284668,1284668,0.75,2.39,4061635
30307,80960,62759,60715,0.75,0,0
30308,894552,579126,670914,0.75,1.44,1339653
30309,893324,334800,669993,0.75,2.37,2293562
30310,877093,652854,652854,0.74,4.74,4061635
30311,18832,170808,18832,1,0,0
30312,649556,394929.49,370246.92,0.57,1.88,1236117
30313,204481,194256.95,184032.9,0.9,0,0
30314,133333.33,126666.65,120000,0.9,0,0
30315,100000,95000,90000,0.9,0,0
30316,39746.64,35771.98,35771.97,0.9,0,0
30317,8898000,946200,896400,0.9,8.78,79919459
30318,244056.52,225000,183042.39,0.75,0,0
30319,28000,21000,21000,0.75,0,0
30321,42326,33546,31745,0.75,1.52,71646
30322,6968,5572,5226,0.75,19.61,206559
30323,372912.27,450338,279684.2,0.75,0,0
30325,904487,678365.25,678365.25,0.75,1.29,1186466
30326,82000,74417,61500,0.75,5.58,678523
30327,14939,33264,14939,1,3.33,159315
30331,112130,84097.5,84097.5,0.75,0,0
30333,626199,26250,469649.25,0.75,4.28,1118922
30334,67358,65337.26,65337.26,1,0,0
30335,27012343.17,2877917.91,2740874.2,0.1,2.15,56435887
30336,166800,166800,166800,1,1.32,2293960
30337,150000,120000,135000,0.9,0,0
30338,119906,89929.5,89929.5,0.75,1.63,200916
30340,53485,40114,40114,0.75,0,0
30342,46212,70814,46212,1,0,0
30344,196316.2,147237.15,147237.15,0.75,1,200000
30346,3422720.53,3525256.26,3422720.53,1,1.36,4384268
30347,1000120,750000,750000,0.75,4.16,4211863
30350,81661,61245.75,1500,0.75,1,1
30355,93000,69750,69750,0.75,7.1,2119782
30357,182945.75,150000,137209.31,0.75,0,0
30358,768650.95,155599,768647.83,1,0,0
30359,401865.46,167175,155991.56,0.39,1.02,421821
30360,56000,42000,42000,0.75,1.02,64053
30361,2997,4122,2248,0.75,0,0
30362,351600,252600,263700,0.75,1.49,525000
30364,949785.49,712338.49,712338.49,0.75,1.44,1401590
30366,447,11361,446.86,1,0,0
30367,158205,80933,80933,0.51,1.81,197617
30368,148861,152045,100575,0.68,0,0
30370,0,34050,0,0.75,0,0
30371,1067236.25,800426,800426,0.75,4.41,4873905
30372,416120,97924,416120.3,1,0,0
30374,507069.17,543600,380301.88,0.75,3.73,3036000
30376,117323,87992.25,0,0.75,2.35,276000
30378,355280,212018,333963,0.94,6.23,1698784
30379,1494803,1517550,1494803,1,42.11,6103123
30380,1682022,1222192,1667796,0.99,24.03,2810717
30381,7244,14051,7243.76,1,0,0
30382,40000,30000,30000,0.75,0,0
30383,155593,153150,116695,0.75,3.09,480614
30384,10287,12497,10287,1,0,0
30386,35000,26250,26250,0.75,0,0
30387,200000,150000,150000,0.75,4.25,835392
30388,78974,59230.5,59230.5,0.75,0,0
30393,11362830,895212,8522122.5,0.75,1.3,15939310
30394,356600,320940,320940,0.9,0,0
30395,243818,408049,182864,0.75,1.81,986527
30396,91584,112500,68688,0.75,0,0
30397,412190,309143,309143,0.75,1.37,645103
30398,1178633,837755,883975,0.75,1.03,1220248
30399,24000,18000,18000,0.75,0,0
30401,197384.64,8056,197384.64,1,0,0
30402,60979,60979,0,1,0,0
30404,935521,15750,701640,0.75,2.33,2256197
30405,4000,2830,2830,0.71,1.37,21420
30406,15283,13614,11462,0.75,0,0
30407,822798,871500,617099,0.75,2.15,2502660
30408,717520,162300,693353.3,0.97,1.1,614373
30414,237626,181499,178220,0.75,0,0
30415,224505,197370,168379,0.75,1.13,331125
30416,55000,32558,29960,0.54,2.71,149120
30417,17876,15678,13407,0.75,2.1,48008
30418,1359914,1151462,1019936,0.75,5.53,8256000
30419,71670,66963,53753,0.75,1.3,111681
30420,106712,84000,80034,0.75,1.25,132867
30421,1025891,618858,769418,0.75,0.91,988045
30423,4951,15667,4951,1,0,0
30424,157848,151314,118386,0.75,46.77,9519202
30425,73000,54750,54750,0.75,0,0
30426,77815,54780,58361,0.75,4.62,387791
30427,65831,56070,49373,0.75,0,0
30428,99880,74910,74910,0.75,0,0
30429,280510,541721,210383,0.75,0,0
30430,27535,38219,19525,0.71,1.37,21420
30432,175585,158026.18,158026.18,0.9,1.1,123773
30434,400000,375257.2,360000,0.9,1.37,594453
30440,463232,347424,347424,0.75,4.17,276000
30441,18884795,10000000,10000000,0.53,2.41,45465468
30445,6225424.31,4669033.98,4669033.98,0.75,1,4789811.88
30446,194455,242100,145841,0.75,0,0
30447,133703,105010,100277,0.75,0,0
30448,33552,28328,25164,0.75,0,0
30450,20000,15831,15000,0.75,0,0
30460,147160,110370,110370,0.75,1.07,157407
30463,86552,67406,64914,0.75,1.39,145513
30464,0,75068,0,0.75,249.85,33782416
30467,0,117701,0,0.95,2.6,392762
30475,1741575.31,451125.55,451125.55,1,0,0
30476,35000,31500,31500,0.9,0,0
30480,517284.93,449551.5,387963.7,0.75,0,0
30497,500000,375000,375000,0.75,0,0
30498,605882,454411.5,545293.8,0.9,69.75,34713863
30499,593328,533995.2,533995.2,0.9,5.54,3448255
30500,45132.16,33107,33849.12,0.75,1.35,71636
30503,1957500,1468125,1468125,0.75,2.6,5120434
30504,43497,32624,32622.75,0.75,3.42,152636
30505,66058,94172,49543.5,0.75,14.89,1869632
30506,217586.67,148684,148683.92,0.68,7.43,1823302
30507,535863,590250,401896.91,0.75,0,0
30509,8000,6000,6000,0.75,0,0
30510,1809955.5,16799,1809955.5,1,0,0
30512,170244.99,170244.99,170244.99,1,0,0
30527,195850,146888,184488,1,0,0
30529,768424.33,243966,576318.22,0.75,1.65,2026000
30530,0,3578,0,0.75,1.37,21420
30531,16000,12000,12000,0.75,0,0
30532,295227,244938,221420,0.75,19.4,5727725
30533,33330,24998,24998,0.75,0,0
30544,160000,152000,144000,0.9,0,0
30545,199980,188397,179982,0.9,0,0
30546,2260338.15,2147320.34,2034304.34,0.9,0,0
30547,35000,33018.16,31500,0.9,0,0
30549,50492,45442.8,45442.8,0.9,0,0
30551,173484.4,156135.96,156135.96,0.9,0,0
30552,2500000,1185000,2250000,0.9,0,0
30553,92000,87400,82800,0.9,0,0
30555,55000,49500,49500,0.9,0,0
30556,1147212.33,860409.25,860409.25,0.75,0,0
30557,262235,245011.5,236011.5,0.9,0,0
30558,283500,269325,255150,0.9,1.14,323000
30559,107183,107183,107183,1,0,0
30560,1301970.18,104378.39,99407.99,1,1.18,1668234
30562,66506,49879.5,49879.5,0.75,10.04,730291
30563,537500,403125,0,0.75,1.39,753562
30564,76000,60800,57000,0.75,0,0
30565,55000,41250,41250,0.75,1.01,55606
30566,2112076.26,1584054.9,1584054.5,0.75,6.37,14081895
30573,124852,93639,93639,0.75,4.05,531147
30576,530797,406678.75,398097.75,0.75,1.32,700000
30577,0,60190.5,0,0.75,0,0
30578,34756.68,23199.75,22373.58,0.64,0,0
30581,2416288,1812216,1812216,0.75,0,0
30582,3182788.37,2575122.53,2387091.28,0.75,1.33,5321038
30593,0,12194,0,0.75,0,0
30594,56343,42300,42257.39,0.75,2.63,148781
30595,304976.3,186187.5,228732.23,0.75,24.46,7509502
30596,44827.74,57300,33620.81,0.75,0,0
30597,29876.38,30218,29876.38,1,0,0
30599,357390.52,257528,266168,0.74,1,1
30600,1292226,225615,1292226,1,0,0
30601,5045264.66,3783948.5,3783948.5,0.75,2.04,10297982
30602,2866818,218424.8,204773.25,0.75,1.5,4353353
30604,1119167.75,646487.72,839375.81,0.75,1.31,1633322
30605,23588440,1658609.4,0,0,1.12,26576842
30607,2284426,1713319,1713319,0.75,1.78,4061083
30608,2346696.48,2918104.4,2346696.48,1,5.51,9517099
30609,3978981.79,2736068.76,2736068.76,0.75,5.23,20800133
30610,75000,56250,0,0.75,745.92,95455111
30620,6782412.3,4592700,4592700,0.9,1.06,5145200
30621,1378866,1252118,1034067,0.75,3.45,5808783
30624,39696,33687,39696,1,0,0
30625,153000,27798.75,26475,1,1.31,249705
30626,316020,243478,237015,0.75,6.31,2320951
30627,635310,600367.95,571779,0.9,3.85,2568126
30630,0,5216,0,0.75,25.84,179684
30632,39881,43952,29910.75,0.75,0,0
30633,92684,97410,67136,0.72,1.37,21420
30634,135603,154688,101702,0.75,0,0
30635,227120,169958,170340,0.75,0,0
30636,32800,24600,24600,0.75,0,0
30637,36535,12353,27401,0.75,0,0
30638,27979,57395,25181,0.9,1.83,219848
30639,14286,50000,10715,0.75,0,0
30640,31397,25459,23548,0.75,0,0
30641,1347541,552668,1347541,1,4.94,6652956
30642,100710,75439,75533,0.75,0,0
30643,14286,16072,10715,0.75,2.41,34490
30644,6237606,3228679,4678205,0.75,1.16,7202563
30645,20336,22770,15252,0.75,1.51,30663
30647,64610,44904,48458,0.75,0,0
30648,1237376,956163,928032,0.75,3.13,3874996
30655,233333,174833,174832.99,0.75,0,0
30656,137275.3,102956.47,102956.47,0.75,20.45,4243084
30657,30000,23802,22500,0.75,0,0
30658,30916,26632,23187,0.75,0,0
30659,66350,43295,40875,0.62,0,0
30661,129070,111286,96803,0.75,17.57,247708
30662,132000,104489,99000,0.75,1.25,165048
30663,627015,494477,470261,0.75,2.72,1706000
30664,43875,32818,32906,0.75,0,0
30665,0,302060,0,0.75,1.03,403592
30666,16565,16067,12424,0.75,0,0
30667,1639039,778710,1229279,0.75,1.33,1333295
30669,0,13053,0,0.75,0,0
30670,3538,3491,2654,0.75,0,0
30671,3680,405883,3680,1,1.03,4724262
